Season,OpenPlay,FromCorner,SetPiece,DirectFreekick,Penalty
14/15,0.723966394,0.139730268,0.069754588,0.05438868,0.012160071
15/16,0.739594803,0.139947148,0.06364237,0.046135213,0.010680467
16/17,0.723641126,0.141235538,0.067670814,0.054245798,0.013206723
17/18,0.723348594,0.142467844,0.071506431,0.050359712,0.012317419
18/19,0.725762968,0.145907473,0.070203818,0.044106546,0.014019196
19/20,0.709786146,0.15306834,0.069967457,0.04986053,0.017317527
20/21,0.720486965,0.14695032,0.072183965,0.043039843,0.017338908
