season,bundesliga,laliga,premier-league,serie-a
2014/2015,0.517150396,0.546648343,0.589729582,0.593819563
2015/2016,0.550053629,0.568110764,0.59180011,0.594498911
2016/2017,0.540229885,0.558974359,0.580782313,0.585802713
2017/2018,0.590423638,0.549276673,0.567681772,0.585498572
2018/2019,0.561285008,0.543387816,0.55625178,0.581354219
2019/2020,0.566774139,0.565744228,0.571365832,0.601766654
2020/2021,0.584505788,0.572111282,0.599494349,0.579991376
