Season,OpenPlay,FromCorner,SetPiece,DirectFreekick,Penalty
14/15,0.738551543,0.141718782,0.066875126,0.04448255,0.008371999
15/16,0.737753335,0.148793156,0.061106019,0.043079743,0.009267746
16/17,0.72295082,0.152868852,0.068237705,0.045081967,0.010860656
17/18,0.738989986,0.155593841,0.060191666,0.036610315,0.008614192
18/19,0.728423237,0.163692946,0.060684647,0.036514523,0.010684647
19/20,0.72462077,0.161663308,0.06375305,0.04020367,0.009759202
20/21,0.728099621,0.153979426,0.065295073,0.039090417,0.013535463
