season,bundesliga,laliga,premier-league,serie-a
2014/2015,0.101808045,0.104814351,0.093587203,0.097394649
2015/2016,0.104771358,0.109002038,0.099345365,0.095010757
2016/2017,0.111194909,0.116951825,0.103379447,0.105656289
2017/2018,0.106387621,0.106371578,0.103469842,0.099203145
2018/2019,0.114087735,0.102089749,0.105942217,0.09259982
2019/2020,0.115531534,0.106641187,0.104063061,0.101689763
2020/2021,0.11551481,0.112859857,0.10527649,0.117315712
