Season,OpenPlay,FromCorner,SetPiece,DirectFreekick,Penalty
14/15,0.709472108,0.142019219,0.079495819,0.060152253,0.008860602
15/16,0.706759318,0.148325963,0.081869867,0.052179406,0.010865445
16/17,0.694088412,0.154982998,0.083703897,0.054407533,0.012817159
17/18,0.728569576,0.146154844,0.073401634,0.039813254,0.012060693
18/19,0.734511133,0.153194579,0.064375605,0.036907067,0.011011617
19/20,0.723244968,0.161512027,0.069587629,0.036696122,0.008959254
20/21,0.739789196,0.142028986,0.073386034,0.03030303,0.014492754
